"Family_ID","Survey_Year","ID_number","Race","Race_2nd","Head_Wife_Status","Paying_Rent_Scale","Fall_Winter_Residence","Summer_Residence","Enrollment_Status","Return_School","Financial_Responsibility_Scale","Own_Bills_Scale","Managing_Money_Scale","Worry_Money","Marital_Status","Help_House","House_Amount","Help_Bills","Bills_Amount","Help_Tuition","Tuition_Amount","Help_Personal_Loan","Help_Personal_Loan_Amount","Help_Personal_Vehicle","Personal_Vehicle_Amount","Help_Rent_Mortgage","Rent_Mortgage_Amount","Gifts_Inheritance","Help_Other","CantAfford_College","Gifts_Inheritance_1","Gifts_Inheritance_2","Gifts_Inheritance_3","Help_Other_Amount","Help_House_Amount_Parents","Help_House_Percent_Parents","Help_Bills_Amount_Parents","Help_Bills_Percent_Parents","Help_Tuition_Amount_Parents","Help_Tuition_Percent_Parents","Help_Student_Loan","Student_Loan_Amount","Help_Student_Loan_Amount_Parents","Help_Student_Loan_Percent_Parents","Help_Personal_Vehicle_Amount_Parents","Help_Personal_Vehicle_Percent_Parents","Help_Rent_Mortgage_Amount_Parents","Help_Rent_Mortgage_Percent_Parents"
3746,2005,33,1,0,3,5,2,1,9,0,4,5,5,2,2,5,0,5,0,1,1000,5,0,5,0,1,350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4533,2005,34,1,0,3,1,1,97,3,0,3,2,3,4,2,5,0,1,1000,5,0,5,0,1,2500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7543,2005,35,2,0,3,1,1,1,1,0,2,1,5,7,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079,2005,36,1,0,3,1,2,97,4,1,1,4,1,7,2,5,0,1,9999998,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4346,2005,37,1,0,3,1,7,97,9,0,3,4,5,5,2,5,0,5,0,1,5000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,2005,38,1,0,3,2,3,2,9,0,2,1,4,5,2,5,0,1,200,1,2205,5,0,5,0,1,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6608,2005,39,1,0,3,2,2,97,3,0,4,4,4,6,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2185,2005,40,2,0,3,3,1,1,1,0,4,5,5,6,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6688,2005,41,2,0,3,5,3,2,9,0,5,5,5,7,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,2005,42,1,0,3,1,1,1,9,0,4,3,5,3,2,5,0,1,3000,1,30000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3910,2005,43,1,0,3,1,1,1,3,0,4,5,5,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3554,2005,44,1,0,3,3,1,1,3,0,4,5,5,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3198,2005,45,1,0,3,3,1,1,3,0,4,3,4,3,2,5,0,5,0,5,0,5,0,1,8500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,2005,46,1,0,3,1,1,1,9,0,3,4,5,6,2,5,0,1,1500,5,0,1,1100,1,15000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5550,2005,47,2,5,3,3,1,1,3,0,5,2,5,5,2,5,0,1,25,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4611,2005,48,2,0,3,2,3,1,9,0,3,4,4,4,2,5,0,5,0,1,3000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2522,2005,49,1,0,3,5,2,96,4,1,5,5,5,3,2,5,0,5,0,5,0,5,0,1,1300,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201,2005,50,1,0,3,2,2,96,9,0,3,2,5,4,2,5,0,1,200,1,2800,5,0,5,0,1,340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,2005,51,1,0,3,1,3,1,9,0,4,4,5,3,2,5,0,1,500,1,500,1,18000,1,5000,1,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7632,2005,52,2,0,3,4,2,3,9,0,4,4,3,3,2,5,0,1,600,1,100,5,0,1,9999998,1,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,2005,53,2,3,3,1,1,96,3,0,3,1,4,6,2,5,0,1,90,5,0,1,40,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1544,2005,54,1,0,3,2,3,1,9,0,4,2,2,1,2,5,0,1,2000,1,5000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,2005,55,2,0,3,3,1,1,1,0,3,6,4,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,2005,56,1,0,3,1,1,2,3,0,4,4,4,6,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3910,2005,57,1,0,3,1,1,1,9,0,3,5,5,3,2,5,0,1,1000,1,1000,5,0,1,3000,1,2400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,2005,58,2,0,3,1,2,1,1,0,4,4,3,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6642,2005,59,1,0,3,1,1,1,9,0,3,1,5,2,2,5,0,1,1500,5,0,5,0,1,3000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6096,2005,60,1,0,3,1,1,1,9,0,2,1,5,2,2,5,0,5,0,5,0,5,0,1,2100,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3307,2005,61,2,0,3,5,3,2,4,1,5,5,5,3,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2551,2005,62,1,0,3,1,2,2,9,0,1,1,1,1,2,5,0,1,1000,1,2000,5,0,1,25000,1,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5887,2005,63,2,0,3,1,1,1,1,0,4,5,5,7,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,2005,64,2,0,3,2,1,96,9,0,4,5,5,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7401,2005,65,1,0,3,6,1,1,9,0,4,5,5,5,2,5,0,1,1000,1,100,5,0,5,0,5,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3394,2005,66,2,0,3,1,1,1,3,0,4,4,4,7,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,2005,67,1,0,3,1,1,1,1,0,2,1,3,7,2,5,0,5,0,5,0,5,0,1,500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6965,2005,68,2,0,3,1,1,1,3,0,3,3,5,4,2,5,0,1,50,5,0,5,0,1,18670,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120,2005,69,2,0,3,2,3,97,9,0,5,4,4,6,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7035,2005,70,2,0,3,4,1,96,1,0,5,3,4,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5599,2005,71,1,0,3,1,1,1,3,0,3,2,4,3,2,5,0,5,0,5,0,1,600,1,4500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4523,2005,72,1,0,1,4,2,96,1,0,4,4,5,5,1,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3572,2005,73,1,0,3,1,1,96,3,0,4,5,5,4,2,5,0,1,9999998,5,0,5,0,5,0,1,9999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3807,2005,74,2,0,3,1,1,1,1,0,5,5,5,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6222,2005,75,1,0,3,1,1,1,3,0,5,5,5,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5046,2005,76,1,0,3,4,1,1,9,0,4,6,5,4,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2548,2005,77,1,0,3,3,1,1,9,0,4,4,5,3,2,5,0,1,600,1,300,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3792,2005,78,7,0,3,1,1,96,1,0,5,1,5,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4341,2005,79,9,0,3,3,1,1,9,0,4,5,5,4,2,5,0,5,0,5,0,5,0,1,5000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7035,2005,80,2,0,3,1,1,1,1,0,4,5,5,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3217,2005,81,1,0,3,1,1,1,9,0,4,4,4,2,2,5,0,1,3000,5,0,1,2500,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4179,2005,82,1,0,3,1,1,1,9,0,2,1,4,4,2,5,0,1,400,1,4000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7455,2005,84,9,0,3,1,1,1,1,0,2,1,4,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,2005,85,1,2,3,1,1,97,4,1,4,5,5,3,2,5,0,5,0,1,200,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6965,2005,86,2,0,3,2,1,1,3,0,4,2,5,2,2,5,0,5,0,5,0,5,0,1,25000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4693,2005,87,1,0,3,1,2,2,9,0,3,2,5,5,2,5,0,1,80,1,500,5,0,5,0,1,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2812,2005,88,1,0,3,4,1,1,3,0,3,5,4,3,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5491,2005,89,9,0,3,1,1,1,9,0,1,4,2,5,2,5,0,1,300,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,2005,90,2,0,3,1,1,1,4,1,3,3,4,5,2,5,0,1,500,5,0,5,0,1,5000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,2005,91,1,0,3,4,1,1,4,5,4,5,5,3,2,5,0,5,0,5,0,5,0,1,1000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,2005,92,2,0,3,1,3,1,9,0,2,1,4,2,2,5,0,1,2000,1,15000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3635,2005,93,2,0,3,5,1,2,2,0,5,5,5,5,2,5,0,5,0,5,0,5,0,5,0,5,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4678,2005,94,1,0,3,1,7,1,9,0,2,1,5,4,2,5,0,1,500,5,0,5,0,1,2500,5,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4258,2005,95,1,0,3,2,1,1,1,0,4,3,3,4,2,5,0,5,0,1,9999998,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2941,2005,96,1,0,3,1,3,1,9,0,4,5,5,7,2,5,0,1,300,1,1500,5,0,5,0,1,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,2005,97,1,0,3,2,1,1,9,0,4,3,5,7,2,5,0,1,300,5,0,5,0,1,1000,5,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,2005,98,1,0,3,1,2,1,9,0,2,1,5,2,2,5,0,1,1500,1,16000,5,0,1,18000,1,400,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,2005,99,1,0,3,1,7,97,9,0,4,1,5,1,2,5,0,5,0,1,6000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4945,2005,100,1,0,3,1,2,1,9,0,3,1,4,2,2,5,0,1,50,1,8000,1,20,1,9999998,1,325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2448,2005,101,1,0,3,1,1,1,9,0,5,6,5,3,2,5,0,5,0,1,29000,5,0,1,9999998,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4560,2005,102,5,0,3,5,2,2,9,0,3,5,5,4,2,5,0,5,0,1,6000,5,0,5,0,1,600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,2005,103,3,0,3,4,1,97,1,0,5,5,5,5,2,5,0,1,300,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6838,2005,104,1,0,3,1,1,1,9,0,4,1,3,4,2,5,0,1,1200,1,4000,5,0,1,8000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3720,2005,105,2,0,3,3,1,1,9,0,5,5,5,1,2,5,0,5,0,5,0,5,0,1,12000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,2005,106,2,0,3,1,1,1,1,0,1,1,1,1,2,1,35000,5,0,5,0,5,0,1,7000,5,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3240,2005,107,1,0,3,1,3,3,9,0,1,2,5,5,2,5,0,1,500,1,4000,5,0,1,1000,1,6000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
